red,yellow,winner,moves,red_time_s,yellow_time_s,seed
GreedyAgent,MCTSAgent,MCTSAgent,18,0.0004,1.624,1000
GreedyAgent,MCTSAgent,MCTSAgent,16,0.0003,1.033,1001
GreedyAgent,MCTSAgent,MCTSAgent,26,0.0005,2.3964,1002
GreedyAgent,MCTSAgent,MCTSAgent,16,0.0003,1.2637,1003
GreedyAgent,MCTSAgent,MCTSAgent,28,0.0005,1.6888,1004
GreedyAgent,MCTSAgent,MCTSAgent,22,0.0004,2.229,1005
GreedyAgent,MCTSAgent,GreedyAgent,23,0.0005,1.6972,1006
GreedyAgent,MCTSAgent,MCTSAgent,22,0.0004,2.1809,1007
GreedyAgent,MCTSAgent,MCTSAgent,20,0.0003,1.4952,1008
GreedyAgent,MCTSAgent,MCTSAgent,36,0.0006,2.8179,1009
MCTSAgent,GreedyAgent,MCTSAgent,7,0.5507,0.0001,1010
MCTSAgent,GreedyAgent,MCTSAgent,13,1.0138,0.0002,1011
MCTSAgent,GreedyAgent,MCTSAgent,9,0.7899,0.0002,1012
MCTSAgent,GreedyAgent,MCTSAgent,7,0.5358,0.0001,1013
MCTSAgent,GreedyAgent,MCTSAgent,9,0.7887,0.0002,1014
MCTSAgent,GreedyAgent,MCTSAgent,9,0.7739,0.0001,1015
MCTSAgent,GreedyAgent,MCTSAgent,7,0.5282,0.0001,1016
MCTSAgent,GreedyAgent,MCTSAgent,15,1.4481,0.0003,1017
MCTSAgent,GreedyAgent,MCTSAgent,7,0.5316,0.0001,1018
MCTSAgent,GreedyAgent,MCTSAgent,19,1.9951,0.0004,1019
GreedyAgent,JohnDoeV2,GreedyAgent,31,0.0004,0.0045,1020
GreedyAgent,JohnDoeV2,GreedyAgent,27,0.0003,0.0043,1021
GreedyAgent,JohnDoeV2,JohnDoeV2,18,0.0002,0.0029,1022
GreedyAgent,JohnDoeV2,GreedyAgent,31,0.0004,0.0046,1023
GreedyAgent,JohnDoeV2,GreedyAgent,29,0.0004,0.0038,1024
GreedyAgent,JohnDoeV2,JohnDoeV2,20,0.0003,0.0035,1025
GreedyAgent,JohnDoeV2,GreedyAgent,23,0.0003,0.0037,1026
GreedyAgent,JohnDoeV2,JohnDoeV2,16,0.0002,0.0025,1027
GreedyAgent,JohnDoeV2,GreedyAgent,21,0.0003,0.0036,1028
GreedyAgent,JohnDoeV2,GreedyAgent,15,0.0002,0.0025,1029
JohnDoeV2,GreedyAgent,JohnDoeV2,19,0.004,0.0002,1030
JohnDoeV2,GreedyAgent,GreedyAgent,30,0.0048,0.0004,1031
JohnDoeV2,GreedyAgent,GreedyAgent,22,0.0039,0.0003,1032
JohnDoeV2,GreedyAgent,GreedyAgent,22,0.0041,0.0003,1033
JohnDoeV2,GreedyAgent,JohnDoeV2,19,0.0042,0.0002,1034
JohnDoeV2,GreedyAgent,GreedyAgent,20,0.0032,0.0003,1035
JohnDoeV2,GreedyAgent,GreedyAgent,20,0.0035,0.0003,1036
JohnDoeV2,GreedyAgent,GreedyAgent,18,0.0034,0.0002,1037
JohnDoeV2,GreedyAgent,JohnDoeV2,17,0.0032,0.0002,1038
JohnDoeV2,GreedyAgent,JohnDoeV2,21,0.0041,0.0003,1039
MCTSAgent,JohnDoeV2,MCTSAgent,21,2.1264,0.0048,1040
MCTSAgent,JohnDoeV2,MCTSAgent,7,0.5527,0.0013,1041
MCTSAgent,JohnDoeV2,MCTSAgent,41,2.7725,0.0069,1042
MCTSAgent,JohnDoeV2,MCTSAgent,31,2.5492,0.0066,1043
MCTSAgent,JohnDoeV2,MCTSAgent,9,0.7546,0.0019,1044
MCTSAgent,JohnDoeV2,MCTSAgent,13,1.0248,0.0029,1045
MCTSAgent,JohnDoeV2,MCTSAgent,7,0.5477,0.0013,1046
MCTSAgent,JohnDoeV2,MCTSAgent,13,1.0851,0.0028,1047
MCTSAgent,JohnDoeV2,MCTSAgent,11,1.0076,0.0025,1048
MCTSAgent,JohnDoeV2,MCTSAgent,39,3.3019,0.0068,1049
JohnDoeV2,MCTSAgent,MCTSAgent,18,0.0038,1.4592,1050
JohnDoeV2,MCTSAgent,MCTSAgent,16,0.0038,1.2172,1051
JohnDoeV2,MCTSAgent,MCTSAgent,8,0.0018,0.587,1052
JohnDoeV2,MCTSAgent,JohnDoeV2,35,0.0066,2.9923,1053
JohnDoeV2,MCTSAgent,MCTSAgent,18,0.0047,1.5051,1054
JohnDoeV2,MCTSAgent,MCTSAgent,8,0.0018,0.5918,1055
JohnDoeV2,MCTSAgent,MCTSAgent,20,0.0048,1.6031,1056
JohnDoeV2,MCTSAgent,JohnDoeV2,23,0.0055,1.8324,1057
JohnDoeV2,MCTSAgent,MCTSAgent,36,0.0065,3.1928,1058
JohnDoeV2,MCTSAgent,MCTSAgent,32,0.0061,2.7302,1059
